symbol,direction,entry_time,entry_price,exit_time,exit_price,result,r_multiple,costs
SUIUSDT,SHORT,1694376000000,0.4497,1695984300000,0.49037019929262693,LOSS,-1.0208032251653256,0.0008460713134031822
SUIUSDT,SHORT,1697558400000,0.3824,1698108300000,0.43443346812771566,LOSS,-1.0141286090368626,0.0007351605280085452
SUIUSDT,LONG,1704960000000,0.9782,1706299200000,1.464170716470568,WIN,1.9909540374504724,0.002198036450679952
SUIUSDT,LONG,1707148800000,1.5685,1707900300000,1.895574059097039,WIN,1.980936420045159,0.0031176012383754004
SUIUSDT,LONG,1711454400000,1.8145,1711549800000,2.105405688583888,WIN,1.9757456998812188,0.0035278569385873704
SUIUSDT,SHORT,1720036800000,0.7744,1720139400000,0.6290147513589255,WIN,1.9826248644758815,0.001263044199173169
SUIUSDT,SHORT,1722859200000,0.4832,1723033800000,0.6458054646643601,LOSS,-1.0062490977249026,0.0010161374392907707
SUIUSDT,LONG,1727726400000,1.8059,1727802900000,1.667253613514063,LOSS,-1.022545600074164,0.003125865981439907
SUIUSDT,LONG,1727956800000,1.8729,1727969400000,1.6983829821443697,LOSS,-1.0184176284171451,0.0032141895873332715
SUIUSDT,LONG,1728316800000,2.0827,1729898100000,1.6485782589435176,LOSS,-1.0077357039277153,0.003358237257397201
SUIUSDT,LONG,1730865600000,2.2787,1731512700000,3.3419745780539514,WIN,1.9904852526906254,0.005058394465332627
SUIUSDT,LONG,1731513600000,3.4193,1733968800000,4.761738656281113,WIN,1.9890309083868036,0.0073626663029218165
SUIUSDT,LONG,1734091200000,4.7625,1734201000000,4.432869135332164,LOSS,-1.0251065632349428,0.00827589814797186
SUIUSDT,SHORT,1744012800000,1.7434,1744223400000,2.2700681847490847,LOSS,-1.0068586385213902,0.003612226699910792
SUIUSDT,LONG,1752494400000,3.9496,1754087400000,3.3713448137159534,LOSS,-1.0113945644408708,0.006588965983381323
SUIUSDT,LONG,1755446400000,3.8841,1755481500000,3.694402807428913,LOSS,-1.035955674270552,0.006820690466124185
SUIUSDT,LONG,1758211200000,3.9549,1758508200000,3.4811404569204147,LOSS,-1.0141264302975992,0.006692531163136228
SUIUSDT,SHORT,1760644800000,2.5499,1763123400000,1.7469213740603262,WIN,1.9903684145106513,0.0038669786409288864
SUIUSDT,SHORT,1763164800000,1.7406,,,UNRESOLVED,0.0,0.0
BZUSDT,SHORT,1780056000000,91.22,1780321500000,96.9679136335476,LOSS,-1.0294663912248756,0.16937027185290976
BZUSDT,SHORT,1781020800000,89.36,1782895500000,71.82916967731838,WIN,1.9834500997530249,0.14506674654351315
BZUSDT,SHORT,1782907200000,72.38,1783450800000,75.34165207080669,LOSS,-1.0448905124624952,0.1329500791941225
FILUSDT,SHORT,1641571200000,30.87,1642768200000,24.572205371180733,WIN,1.9841542227983107,0.04989672527513278
FILUSDT,SHORT,1645488000000,18.63,1645975800000,20.8603852325143,LOSS,-1.0159352708528464,0.03554179278630443
FILUSDT,SHORT,1651017600000,17.29,1651359600000,13.82661241888185,WIN,1.9838284004642448,0.0280042584994753
FILUSDT,SHORT,1651363200000,14.23,1655000100000,5.743001763304587,WIN,1.995764343602757,0.017974004187324866
FILUSDT,SHORT,1655006400000,5.78,1659169800000,7.455184270244954,LOSS,-1.0071108600359122,0.011912000880073714
FILUSDT,SHORT,1661558400000,5.66,1662182100000,6.704486564864029,LOSS,-1.0106542747221825,0.011128246805690134
FILUSDT,SHORT,1666108800000,5.12,1666847700000,5.3703122568006245,LOSS,-1.0377182132998433,0.009441331093571093
FILUSDT,SHORT,1669060800000,4.09,1669520700000,4.519469151232097,LOSS,-1.0180422926948511,0.007748608129938828
FILUSDT,SHORT,1671494400000,2.815,1672857000000,3.4576862189390316,LOSS,-1.008784296236519,0.0056455461342886926
FILUSDT,LONG,1681588800000,6.425,1681892100000,5.855249276362621,LOSS,-1.0193985507000514,0.011052338298870645
FILUSDT,SHORT,1687190400000,3.623,1687289400000,3.791677110126112,LOSS,-1.0395622330116145,0.006673243134535017
FILUSDT,SHORT,1692288000000,3.702,1692307800000,3.34670386039324,WIN,1.9642902823422352,0.006343762415125576
FILUSDT,SHORT,1692316800000,3.438,1698090300000,3.902579203042059,LOSS,-1.0142206412928483,0.006606614198578498
FILUSDT,LONG,1701964800000,4.965,1702260000000,4.544581383861888,LOSS,-1.020357584085637,0.008558707329198723
